file,original_line,pattern,match,disposition,original_context
architecture.html,168,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"Asking how large a network is has four answers here, and they differ by orders of magnitude. The first three come from the plan alone. For a convolution with kernel k, Cin input channels, Cout output channels and an H×W output map:"
architecture.html,190,hyphenated expression,fan-out,Retained for context: punctuation or technical compound alone does not justify a rewrite.,∑ spikes × fan-out
architecture.html,210,list / possible triad,,Revised: L149,"Work has to be measured on real data rather than derived from the shape. The accepted measure is the synaptic operation: one accumulate at one downstream neuron, caused by one arriving spike. Summed over a sample it is the quantity a neuromorphic chip spends energy on, and it counts events rather than seconds, so it compares across platforms."
architecture.html,219,hyphenated expression,fan-out,Retained for context: punctuation or technical compound alone does not justify a rewrite.,SynOpsCounter hooks every spiking layer during evaluation and multiplies the spikes each emits by its fan-out. Every run reports synops_per_sample whether or not the search is asked to act on it.
architecture.html,232,list / possible triad,,Revised: L150,"The name matters. SynOps counts events, not joules. Real energy also includes memory traffic, data movement between cores and static power, and on an FPGA static power may dominate all of them. The column is called synops for that reason, and calling it energy would be a claim the measurement does not support."
architecture.html,251,hyphenated expression,trade-off,Retained for context: punctuation or technical compound alone does not justify a rewrite.,When the trade-off is not yet decided. Defers the choice until the front can be looked at.
architecture.html,291,hyphenated expression,two-layer,Revised: L184,"In the two-layer configuration below, the second convolution holds 50,176 parameters and realizes 7.2 million connections, because the same filter is applied at 144 positions. Only the parameter count ever reaches a GPU's memory. All 7.2 million have to be stored individually here, which is why the chip's limits are written as fan-in and fan-out rather than as a parameter budget."
architecture.html,291,hyphenated expression,fan-in,Revised: L184,"In the two-layer configuration below, the second convolution holds 50,176 parameters and realizes 7.2 million connections, because the same filter is applied at 144 positions. Only the parameter count ever reaches a GPU's memory. All 7.2 million have to be stored individually here, which is why the chip's limits are written as fan-in and fan-out rather than as a parameter budget."
architecture.html,291,hyphenated expression,fan-out,Revised: L184,"In the two-layer configuration below, the second convolution holds 50,176 parameters and realizes 7.2 million connections, because the same filter is applied at 144 positions. Only the parameter count ever reaches a GPU's memory. All 7.2 million have to be stored individually here, which is why the chip's limits are written as fan-in and fan-out rather than as a parameter budget."
architecture.html,291,list / possible triad,,Revised: L184,"In the two-layer configuration below, the second convolution holds 50,176 parameters and realizes 7.2 million connections, because the same filter is applied at 144 positions. Only the parameter count ever reaches a GPU's memory. All 7.2 million have to be stored individually here, which is why the chip's limits are written as fan-in and fan-out rather than as a parameter budget."
architecture.html,337,hyphenated expression,small-map,Revised: L185,"The panel below runs the planning, costing and feasibility code from the file, ported to JavaScript and checked against the Python implementation. A few things are worth trying: 128 channels breaks the connection limits, a GAP head moves the parameter count by an order of magnitude, and enough layers will eventually trip the small-map guard from section 3.2."
architecture.html,337,list / possible triad,,Revised: L185,"The panel below runs the planning, costing and feasibility code from the file, ported to JavaScript and checked against the Python implementation. A few things are worth trying: 128 channels breaks the connection limits, a GAP head moves the parameter count by an order of magnitude, and enough layers will eventually trip the small-map guard from section 3.2."
architecture.html,415,em dash,—,Retained for context: punctuation or technical compound alone does not justify a rewrite.,—
architecture.html,416,em dash,—,Retained for context: punctuation or technical compound alone does not justify a rewrite.,—
architecture.html,417,em dash,—,Retained for context: punctuation or technical compound alone does not justify a rewrite.,—
architecture.html,418,em dash,—,Retained for context: punctuation or technical compound alone does not justify a rewrite.,—
architecture.html,419,em dash,—,Retained for context: punctuation or technical compound alone does not justify a rewrite.,—
architecture.html,420,em dash,—,Retained for context: punctuation or technical compound alone does not justify a rewrite.,—
architecture.html,432,hyphenated expression,fan-in,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"After the convolution stack, a block of shape channels × height × width has to become 11 class scores. The two available reductions differ in how much fan-in they demand from the first linear layer, which section 1.3 limits to 8,159."
architecture.html,442,hyphenated expression,fan-in,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"Every neuron in the following linear layer then has a fan-in of 4,608."
architecture.html,450,hyphenated expression,Fan-in,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"Fan-in drops to the channel count, and many more configurations pass the feasibility check."
architecture.html,451,hyphenated expression,fixed-weight,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"An average is a fixed-weight linear map, so the chip can absorb it into the following layer."
architecture.html,456,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"Between the reduction and the classifier the configuration may place hidden linear layers. The 65-trial study described in section 6.6 found that the best configurations used none, so the search now allows at most one. Linear layers are built without bias, since the chip provides no bias term."
architecture.html,465,hyphenated expression,per-layer,Retained for context: punctuation or technical compound alone does not justify a rewrite.,3.6Uniform and per-layer encoders
architecture.html,466,hyphenated expression,per-layer,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"EncoderSpec accepts two forms. The uniform form takes a depth, a channel count and a kernel size, and repeats them. The per-layer form takes a JSON list of layer dictionaries and gives each layer its own geometry, including per-layer neuron overrides."
architecture.html,466,hyphenated expression,per-layer,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"EncoderSpec accepts two forms. The uniform form takes a depth, a channel count and a kernel size, and repeats them. The per-layer form takes a JSON list of layer dictionaries and gives each layer its own geometry, including per-layer neuron overrides."
architecture.html,466,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"EncoderSpec accepts two forms. The uniform form takes a depth, a channel count and a kernel size, and repeats them. The per-layer form takes a JSON list of layer dictionaries and gives each layer its own geometry, including per-layer neuron overrides."
architecture.html,471,hyphenated expression,per-layer,Retained for context: punctuation or technical compound alone does not justify a rewrite.,per-layer encoderemitted by the per-layer search space
architecture.html,471,hyphenated expression,per-layer,Retained for context: punctuation or technical compound alone does not justify a rewrite.,per-layer encoderemitted by the per-layer search space
architecture.html,472,hyphenated expression,per-layer,Retained for context: punctuation or technical compound alone does not justify a rewrite.,per-layer encoderemitted by the per-layer search space
architecture.html,472,hyphenated expression,per-layer,Retained for context: punctuation or technical compound alone does not justify a rewrite.,per-layer encoderemitted by the per-layer search space
architecture.html,481,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"resolve_conv_layers() reduces either form to one list, so the planner, the checker, the cost model and the builder each handle a single representation."
architecture.html,482,hyphenated expression,Per-layer,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"Per-layer neuron parameters cost nothing on chip, which reads a neuron model per neuron. Per-channel parameters were considered and rejected as too many degrees of freedom for a dataset of this size."
architecture.html,482,hyphenated expression,Per-channel,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"Per-layer neuron parameters cost nothing on chip, which reads a neuron model per neuron. Per-channel parameters were considered and rejected as too many degrees of freedom for a dataset of this size."
hardware.html,20,hyphenated expression,HiAER-Spike,Revised: L155,"Section 1.3 listed the connection limits and the numeric formats HiAER-Spike imposes. This page turns them into code by running checks that rejects unbuildable configurations, and a training procedure that keeps the network inside the INT16 grid instead of quantizing it once training is over."
hardware.html,38,list / possible triad,,Revised: L156,"Every connection on this chip takes up one row in a stored table, and that table holds a fixed number of rows. A configuration needing more rows than exist cannot be wired at all, and training it teaches nothing."
hardware.html,77,hyphenated expression,Fan-in,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"Fan-in of a convolution neuron is k² · Cin, the size of the window it reads."
hardware.html,78,hyphenated expression,Fan-out,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"Fan-out of a convolution neuron is ⌈k/s⌉² · Cout, the number of windows in the next layer that contain it."
hardware.html,79,hyphenated expression,Fan-in,Retained for context: punctuation or technical compound alone does not justify a rewrite.,Fan-in of a linear neuron is the full width of the previous layer.
hardware.html,82,hyphenated expression,fan-out,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"The first block draws on the axon budget because it reads the input. Later blocks use the neuron budgets. The last convolution block is a special case: its fan-out is the width of the first linear layer, since no further convolution follows it."
hardware.html,89,hyphenated expression,fan-in,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"INTERACTIVE Fan budget calculator One convolution layer, assumed to be the last one before the head. The three limits are computed from its shape, so the head's fan-in follows from the output volume rather than being chosen separately."
hardware.html,108,hyphenated expression,fan-in,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"The comments in the search space record what these limits did to the design after 65 trials. Channel count was the strongest predictor of infeasibility: 88% of 32-channel configurations passed, against 14% of 128-channel ones, and the wider networks never scored better. The sampled set was reduced to 32 and 64 channels. A wide flatten is the other common failure, since 9,216 features exceed the 8,159 fan-in limit on their own."
hardware.html,108,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"The comments in the search space record what these limits did to the design after 65 trials. Channel count was the strongest predictor of infeasibility: 88% of 32-channel configurations passed, against 14% of 128-channel ones, and the wider networks never scored better. The sampled set was reduced to 32 and 64 channels. A wide flatten is the other common failure, since 9,216 features exceed the 8,159 fan-in limit on their own."
hardware.html,140,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"32767 is 1.0, so the range is [−1, 1] and a weight of 1.3 must be truncated to 1.0."
hardware.html,141,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"32767 is 5.0, so the range is [−5, 5] and a weight of 1.3 stores as round(1.3/5 × 32767) = 8519 while being read back as 1.29997."
hardware.html,162,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"The converter is constructed as Quantize_Network(w_alpha=1, dynamic_alpha=False, w_bits=16). Most quantization schemes set the scale to fit the data, usually to the largest weight present, which is what the word dynamic refers to. Here it is switched off and the scale is pinned, so weights outside the range are truncated rather than mapped proportionally."
hardware.html,169,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"Thresholds are mapped to the same scale, which is why θ has to stay within (0, 1]. A neuron compares its membrane potential against θ, and that potential is a running sum of weights. Giving weights a scale of their own would put the two sides of that comparison in different units, so every threshold would need rescaling by the same factor to stay meaningful."
hardware.html,175,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"Within the range, the grid is fine enough that rounding error is around 10−5, which is negligible for a network. Truncation at the edge is the part that costs something, and a trained weight rarely lands out there on its own. Something has to push it."
hardware.html,228,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"The scale factor γ/√(σ²+ε) is frequently greater than 1, and folding multiplies every weight in the channel by it. A trained weight of 0.6 in a channel with a scale of 2.1 becomes 1.26, which section 4.2 truncates to 1.0."
hardware.html,236,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"Folding is the step that moves weights outside the representable range, so a network trained in floating point and folded afterwards can lose accuracy that no training metric predicted. Weight decay becomes relevant to deployment, since it controls how far the folded distribution spreads."
hardware.html,253,list / possible triad,,Revised: L186,"That gives weight decay two jobs at once. Alongside its usual regularization role it now also holds the folded distribution inside the representable range, since a folded weight is the trained weight times the channel scale. The search tunes one number against both. Whether the second job binds is measurable, and in the runs recorded further down it does not."
hardware.html,263,hyphenated expression,per-channel,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"The fold produces a per-channel bias b′, which is non-zero even when the convolution was built without one. Convolutions on the chip have no bias field to receive it."
hardware.html,263,hyphenated expression,non-zero,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"The fold produces a per-channel bias b′, which is non-zero even when the convolution was built without one. Convolutions on the chip have no bias field to receive it."
hardware.html,270,hyphenated expression,per-channel,Revised: L160,"Adding a constant to a neuron's input every timestep has the same effect as lowering its threshold by that constant. Since the chip stores a threshold per neuron, the bias can be expressed as a per-channel threshold instead, with no extra hardware support."
hardware.html,278,hyphenated expression,bias-free,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"fold_bn(net, bias_mode=""threshold"") writes θ′ = θ − b′ into the following neuron and leaves the convolution bias-free. bias_mode=""conv"" keeps b′ on the convolution instead, which is exact and useful for verification in software."
hardware.html,278,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"fold_bn(net, bias_mode=""threshold"") writes θ′ = θ − b′ into the following neuron and leaves the convolution bias-free. bias_mode=""conv"" keeps b′ on the convolution instead, which is exact and useful for verification in software."
hardware.html,305,hyphenated expression,per-channel,Revised: L160,per-channel
hardware.html,328,em dash,—,Retained for context: punctuation or technical compound alone does not justify a rewrite.,—
hardware.html,333,em dash, -- ,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"No weight left the representable range in either run, and the largest folded weight sat at 0.665 with a third of the range unused. The rejection in both cases reads folded threshold -0.6249 <= 0 -- neuron fires unconditionally. The per-layer export shows where it came from, with layer 1 holding a channel pinned at the smallest legal integer:"
hardware.html,333,hyphenated expression,per-layer,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"No weight left the representable range in either run, and the largest folded weight sat at 0.665 with a third of the range unused. The rejection in both cases reads folded threshold -0.6249 <= 0 -- neuron fires unconditionally. The per-layer export shows where it came from, with layer 1 holding a channel pinned at the smallest legal integer:"
hardware.html,333,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"No weight left the representable range in either run, and the largest folded weight sat at 0.665 with a third of the range unused. The rejection in both cases reads folded threshold -0.6249 <= 0 -- neuron fires unconditionally. The per-layer export shows where it came from, with layer 1 holding a channel pinned at the smallest legal integer:"
hardware.html,348,hyphenated expression,Threshold-mode,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"Threshold-mode folding needs θ′ = θ − b′ > 0, so it needs θ > b′. Since fake_quantize_threshold caps θ at w_alpha = 1, the implied b′ of at least 1.588 is above every θ the encoding permits. No choice of threshold rescues that fold."
hardware.html,358,list / possible triad,,Revised: L187,"Nothing in the float model constrains b′. It is β + (conv_b − μ)·scale, and β is a free learned parameter, so training can place it anywhere. The result is discovered at export, after the full epoch budget has been spent, and the trial is scored zero."
hardware.html,367,hyphenated expression,two-sided,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"The legality band has to be enforced while the network trains, so the network adapts to it rather than meeting it once at the end. The band is two-sided, because the other end fails silently as well: quantized_threshold_int saturates at INT16_MAX, so a θ′ above w_alpha deploys as w_alpha with no error raised."
hardware.html,377,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"constrain_fold_bias clamps b′ into [θ − w_alpha, θ(1 − margin)] inside ConvBNFoldQuant._folded_weight_bias, using the same clamping arrangement as the weight quantizer. The forward pass uses the clamped value, so the loss responds to the constraint, and the gradient still reaches β so the optimizer can move toward a legal value on its own. The margin is TrainSpec.fold_bias_margin, default 0.05, and setting it to 0 restores the previous behavior."
hardware.html,401,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"With θ = 1 and the default margin, the band is [0, 0.95]. The b′ of 1.588 that produced the rejection above is clamped to 0.95, giving θ′ = 0.05, which stores as the integer 1,638. Every value of b′ now yields a θ′ inside (0, w_alpha] by construction."
hardware.html,422,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"A bias arrives every timestep and accumulates. The leak drains v/τ per step, so the pile grows until draining balances arriving, which happens at b′·τ. A threshold shift is worth b′ once and never compounds. At τ=63 a bias of 0.15 lifts the membrane by 9.45 while the matching threshold shift is worth 0.15."
hardware.html,432,list / possible triad,,Revised: L163,"No single stored threshold can imitate the bias, because the offset is not constant. It restarts at zero after every spike and climbs toward b′·τ during silence. The fix is to stop imitating. Training should apply the bias the way the chip will, so the optimizer works against the deployed behavior rather than a version of it that only exists during training."
hardware.html,442,hyphenated expression,quantization-aware,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"TrainSpec.fold_bias_qat_form defaults to ""threshold"", so HardwareLIFNode compares against θ − b′ during quantization-aware training, which is what export_deployed writes. Setting it to ""input"" restores the previous behavior for comparison. fold_bias_report now also reports |b′|·τ/θ, since the older |b′|/θ ratio carries no leak term."
hardware.html,485,em dash,—,Retained for context: punctuation or technical compound alone does not justify a rewrite.,—
hardware.html,489,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"At τ=2 the two panels agree almost everywhere, which is why the substitution went unnoticed. The disagreement grows with τ, and the deployed configuration uses 63."
hardware.html,496,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"tools/fold_bias_equivalence.py reads a checkpoint without needing PyTorch, recomputes θ − b′ from the stored batch normalization statistics, and checks it against the thresholds the run exported. All 32 channels matched in both convolutions, which confirms the deployed threshold is exactly θ − b′. Running both forms over the same input gave:"
hardware.html,511,hyphenated expression,cross-check,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"That checkpoint scored 0.114 against a chance level of 0.091 after three epochs, so its batch normalization statistics were immature and these biases are larger than a converged run would produce. The input driving each channel was synthetic. The threshold cross-check does not depend on either caveat."
hardware.html,520,hyphenated expression,in-software,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"fold_bias_mode=""conv"" keeps b′ on the convolution and never touches the threshold, which is exact and needs no constraint. It is already implemented and used for in-software verification. Deploying it requires the converter to support a per-output-channel convolution bias. That is a smaller change than reworking the quantization scale, and it removes the problem rather than bounding it."
hardware.html,520,hyphenated expression,per-output-channel,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"fold_bias_mode=""conv"" keeps b′ on the convolution and never touches the threshold, which is exact and needs no constraint. It is already implemented and used for in-software verification. Deploying it requires the converter to support a per-output-channel convolution bias. That is a smaller change than reworking the quantization scale, and it removes the problem rather than bounding it."
hardware.html,520,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"fold_bias_mode=""conv"" keeps b′ on the convolution and never touches the threshold, which is exact and needs no constraint. It is already implemented and used for in-software verification. Deploying it requires the converter to support a per-output-channel convolution bias. That is a smaller change than reworking the quantization scale, and it removes the problem rather than bounding it."
hardware.html,529,hyphenated expression,re-measuring,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"Both runs above were short. The probe trained for 3 epochs and the search trials reached about 0.5 validation accuracy against a 0.98 target, so BatchNorm's running statistics were still immature when the fold read them. The clip fraction is worth re-measuring after a converged run before drawing conclusions about section 4.2."
hardware.html,537,hyphenated expression,per-channel,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"INTERACTIVE A layer of weights meeting the clamp 4,000 simulated weights folded through per-channel scales. Rust bars fall outside the representable range. The readout compares against the 2% budget in DEPLOY_LIMITS."
hardware.html,558,em dash,—,Retained for context: punctuation or technical compound alone does not justify a rewrite.,—
hardware.html,578,hyphenated expression,floating-point,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"The network should compute with quantized weights during training while gradients continue to reach the underlying floating-point parameters. A weight that folds out of range then raises the training loss immediately, and the optimizer has an incentive to avoid it."
hardware.html,647,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"_WeightFakeQuant is registered through torch.nn.utils.parametrize, which keeps the raw parameter and computes the clamped version on each read. bake_weight_fake_quant collapses the two into one at export, so the saved network holds the values the chip receives."
hardware.html,662,hyphenated expression,straight-through,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"The third point holds for the network's output but not for the gradient. A true derivative would be zero past the boundary, and the straight-through estimator returns 1 there instead, so the optimizer can keep pushing a stored value outward to no effect. Weight decay is what balances that. This behavior is characteristic of straight-through quantization generally rather than specific to this implementation."
hardware.html,662,hyphenated expression,straight-through,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"The third point holds for the network's output but not for the gradient. A true derivative would be zero past the boundary, and the straight-through estimator returns 1 there instead, so the optimizer can keep pushing a stored value outward to no effect. Weight decay is what balances that. This behavior is characteristic of straight-through quantization generally rather than specific to this implementation."
hardware.html,662,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"The third point holds for the network's output but not for the gradient. A true derivative would be zero past the boundary, and the straight-through estimator returns 1 there instead, so the optimizer can keep pushing a stored value outward to no effect. Weight decay is what balances that. This behavior is characteristic of straight-through quantization generally rather than specific to this implementation."
hardware.html,672,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"weight_clip_fraction counts weights whose magnitude exceeds 1, and it reads m.weight, which is the used value. The used value is clamped to 1 before it can be read, so the count is structurally zero and the function reports 0.0% whatever the network is doing. It measures whether the clamp worked rather than whether the clamp had anything to do."
hardware.html,698,hyphenated expression,fine-tune,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"Train in floating point, fold, quantize, then fine-tune for a few epochs."
hardware.html,699,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"Warm up in floating point for about a quarter of the budget, fold in place, and train the remainder on the folded and quantized network."
hardware.html,703,hyphenated expression,warm-up,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"The warm-up exists because folding reads batch normalization's running statistics, which need a few epochs of data before they are meaningful. After the fold, each convolution and batch normalization pair is replaced by a single ConvBNFoldQuant module. Its forward pass recomputes the fold from the current running statistics, quantizes the result, and passes the per-channel bias to the neuron through the _fold_bias attribute seen in section 2.6. The statistics themselves keep updating from a separate pass over the raw convolution output, so the fold tracks the data as training continues."
hardware.html,703,hyphenated expression,per-channel,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"The warm-up exists because folding reads batch normalization's running statistics, which need a few epochs of data before they are meaningful. After the fold, each convolution and batch normalization pair is replaced by a single ConvBNFoldQuant module. Its forward pass recomputes the fold from the current running statistics, quantizes the result, and passes the per-channel bias to the neuron through the _fold_bias attribute seen in section 2.6. The statistics themselves keep updating from a separate pass over the raw convolution output, so the fold tracks the data as training continues."
hardware.html,703,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"The warm-up exists because folding reads batch normalization's running statistics, which need a few epochs of data before they are meaningful. After the fold, each convolution and batch normalization pair is replaced by a single ConvBNFoldQuant module. Its forward pass recomputes the fold from the current running statistics, quantizes the result, and passes the per-channel bias to the neuron through the _fold_bias attribute seen in section 2.6. The statistics themselves keep updating from a separate pass over the raw convolution output, so the fold tracks the data as training continues."
hardware.html,736,list / possible triad,,Revised: L196,"The distinction changes how the range itself should be read. A ptq boundary costs accuracy that could in principle be recovered. With inline the boundary was a constraint the optimizer already worked within, so widening it restores nothing. What widening does is enlarge the set of solutions the optimizer can reach, which may or may not contain a better one."
hardware.html,745,hyphenated expression,warm-up,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"INTERACTIVE How the epoch budget divides The formula from run_training: warm-up is round(epochs × fraction), clamped so both phases exist."
hardware.html,753,hyphenated expression,warm-up,Retained for context: punctuation or technical compound alone does not justify a rewrite.,warm-up fraction 0.25
hardware.html,756,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"floating point, batch normalization active folded and quantized, learning rate halved"
hardware.html,764,hyphenated expression,bias-free,Retained for context: punctuation or technical compound alone does not justify a rewrite.,export_deployed() converts each ConvBNFoldQuant into a plain bias-free convolution holding the final quantized weights and writes the folded bias into per-channel thresholds. What remains is the network the converter consumes. Two functions then inspect it:
hardware.html,764,hyphenated expression,per-channel,Retained for context: punctuation or technical compound alone does not justify a rewrite.,export_deployed() converts each ConvBNFoldQuant into a plain bias-free convolution holding the final quantized weights and writes the folded bias into per-channel thresholds. What remains is the network the converter consumes. Two functions then inspect it:
hardware.html,771,hyphenated expression,quantization-aware,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"deployment_report() checks legality. A folded threshold at or below zero blocks deployment and scores the configuration zero. More than 2% of weights outside the range produces a warning rather than a rejection, since quantization-aware training has already been given the chance to work around the clamp."
hardware.html,772,hyphenated expression,hard-coded,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"hardware_export() writes the integer threshold and integer leak for each spiking layer as JSON. The conversion script previously carried a single hard-coded threshold and leak, which prevented per-layer neuron parameters from being used at all."
hardware.html,772,hyphenated expression,per-layer,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"hardware_export() writes the integer threshold and integer leak for each spiking layer as JSON. The conversion script previously carried a single hard-coded threshold and leak, which prevented per-layer neuron parameters from being used at all."
